sweep,N,L,rep,time_s
L,50,3500,21,5.80631
L,50,3500,22,6.089249
L,50,3500,23,5.646791
L,50,3500,24,5.668918
L,50,3500,25,5.86249
L,50,3500,26,5.420441
L,50,3500,27,5.469328
L,50,3500,28,5.996105
L,50,3500,29,5.855605
L,50,4000,0,6.691504
L,50,4000,1,6.741585
L,50,4000,2,6.57193
L,50,4000,3,6.629048
L,50,4000,4,7.09807
L,50,4000,5,6.685427
L,50,4000,6,6.644296
L,50,4000,7,6.650336
L,50,4000,8,6.5826
L,50,4000,9,6.66426
L,50,4000,10,6.742334
L,50,4000,11,6.800677
L,50,4000,12,6.551512
L,50,4000,13,6.797485
L,50,4000,14,6.53669
L,50,4000,15,6.572605
L,50,4000,16,6.670523
L,50,4000,17,6.791139
L,50,4000,18,6.702862
L,50,4000,19,6.744137
L,50,4000,20,6.502132
L,50,4000,21,6.598523
L,50,4000,22,6.337344
L,50,4000,23,6.383724
L,50,4000,24,6.63999
L,50,4000,25,6.375418
L,50,4000,26,6.435512
L,50,4000,27,6.633672
L,50,4000,28,6.423267
L,50,4000,29,6.432224
L,50,4500,0,7.428662
L,50,4500,1,7.443498
L,50,4500,2,7.171031
L,50,4500,3,7.524231
L,50,4500,4,7.521938
L,50,4500,5,7.416204
L,50,4500,6,7.368308
L,50,4500,7,7.662335
L,50,4500,8,7.580223
L,50,4500,9,7.211223
L,50,4500,10,7.119282
L,50,4500,11,7.379854
L,50,4500,12,7.313173
L,50,4500,13,7.308577
L,50,4500,14,7.542681
L,50,4500,15,7.136516
L,50,4500,16,7.328344
L,50,4500,17,7.373568
L,50,4500,18,7.558365
L,50,4500,19,7.491117
L,50,4500,20,7.029602
L,50,4500,21,7.177198
L,50,4500,22,7.287122
L,50,4500,23,7.18528
L,50,4500,24,7.721721
L,50,4500,25,7.237012
L,50,4500,26,7.440643
L,50,4500,27,7.186165
L,50,4500,28,7.232045
L,50,4500,29,7.205356
L,50,5000,0,7.861482
L,50,5000,1,8.19013
L,50,5000,2,7.904242
L,50,5000,3,8.369899
L,50,5000,4,8.200693
L,50,5000,5,7.863977
L,50,5000,6,8.037205
L,50,5000,7,8.161012
L,50,5000,8,7.750224
L,50,5000,9,8.206413
L,50,5000,10,8.088665
L,50,5000,11,8.02078
L,50,5000,12,7.608701
L,50,5000,13,8.183652
L,50,5000,14,8.212293
L,50,5000,15,7.210813
L,50,5000,16,8.080287
L,50,5000,17,7.988099
L,50,5000,18,7.161447
L,50,5000,19,8.062935
L,50,5000,20,6.78998
L,50,5000,21,7.554061
L,50,5000,22,7.931667
L,50,5000,23,7.7239
L,50,5000,24,7.021217
L,50,5000,25,7.888151
L,50,5000,26,7.470735
L,50,5000,27,7.346442
L,50,5000,28,6.999408
L,50,5000,29,6.300031
